business_id,labels
1801,0 1 2 4 5 6
1806,0 1 2 6 8
1810,0 1 2 5 6 8
1811,0 1 2 3 5 6 7 8
1812,0 1 2 5 6
1814,5
1820,0 1 2 6 8
18,0 1 2 3 4 5 6 8
1822,0 1 2 6 8
1823,0 1 2 5 6 8
1824,0 1 2 6
1830,0 1 2 6 8
1831,0 1 2 3 6 8
183,0 1 2 5 6 7 8
1835,0 1 2 5 6
1836,0 2 6
1837,0 1 2 4 6 7
1839,0 5
1840,0 1 2 3 4 5 6 7 8
184,0 1 2 5 6 7
1842,0 1 2 6 8
1843,0 1 2 4 5 6 8
